"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	39	4430141	0.9	0.9
	"Alabama"	"01"	"2000"	"2000"	46	4447100	1.0	1.1
	"Alabama"	"01"	"2001"	"2001"	67	4467634	1.5	1.5
	"Alabama"	"01"	"2002"	"2002"	74	4480089	1.7	1.7
	"Alabama"	"01"	"2003"	"2003"	54	4503491	1.2	1.2
	"Alabama"	"01"	"2004"	"2004"	91	4530729	2.0	2.0
	"Alabama"	"01"	"2005"	"2005"	83	4569805	1.8	1.8
	"Alabama"	"01"	"2006"	"2006"	134	4628981	2.9	2.9
	"Alabama"	"01"	"2007"	"2007"	170	4672840	3.6	3.7
	"Alabama"	"01"	"2008"	"2008"	195	4718206	4.1	4.3
	"Alabama"	"01"	"2009"	"2009"	210	4757938	4.4	4.6
	"Alabama"	"01"	"2010"	"2010"	193	4779736	4.0	4.2
	"Alabama"	"01"	"2011"	"2011"	180	4802740	3.7	3.8
	"Alabama"	"01"	"2012"	"2012"	175	4822023	3.6	3.8
	"Alabama"	"01"	"2013"	"2013"	175	4833722	3.6	3.7
	"Alabama"	"01"	"2014"	"2014"	282	4849377	5.8	5.9
	"Alabama"	"01"	"2015"	"2015"	291	4858979	6.0	6.3
	"Alabama"	"01"	"2016"	"2016"	351	4863300	7.2	7.7
	"Alabama"	"01"	"2017"	"2017"	434	4874747	8.9	9.3
	"Alabama"	"01"	"2018"	"2018"	392	4887871	8.0	8.5
	"Alaska"	"02"	"1999"	"1999"	28	624779	4.5	4.1
	"Alaska"	"02"	"2000"	"2000"	27	626932	4.3	4.0
	"Alaska"	"02"	"2001"	"2001"	17	633714	Unreliable	Unreliable
	"Alaska"	"02"	"2003"	"2003"	14	648414	Unreliable	Unreliable
	"Alaska"	"02"	"2004"	"2004"	11	659286	Unreliable	Unreliable
	"Alaska"	"02"	"2005"	"2005"	19	666946	Unreliable	Unreliable
	"Alaska"	"02"	"2006"	"2006"	29	675302	4.3	4.1
	"Alaska"	"02"	"2007"	"2007"	16	680300	Unreliable	Unreliable
	"Alaska"	"02"	"2008"	"2008"	94	687455	13.7	13.6
	"Alaska"	"02"	"2009"	"2009"	93	698895	13.3	12.9
	"Alaska"	"02"	"2010"	"2010"	71	710231	10.0	10.0
	"Alaska"	"02"	"2011"	"2011"	72	722718	10.0	9.5
	"Alaska"	"02"	"2012"	"2012"	81	731449	11.1	10.8
	"Alaska"	"02"	"2013"	"2013"	69	735132	9.4	9.2
	"Alaska"	"02"	"2014"	"2014"	79	736732	10.7	11.0
	"Alaska"	"02"	"2015"	"2015"	91	738432	12.3	11.7
	"Alaska"	"02"	"2016"	"2016"	101	741894	13.6	13.5
	"Alaska"	"02"	"2017"	"2017"	109	739795	14.7	14.9
	"Alaska"	"02"	"2018"	"2018"	82	737438	11.1	10.6
	"Arizona"	"04"	"1999"	"1999"	248	5023823	4.9	5.1
	"Arizona"	"04"	"2000"	"2000"	249	5130632	4.9	5.1
	"Arizona"	"04"	"2001"	"2001"	273	5273477	5.2	5.4
	"Arizona"	"04"	"2002"	"2002"	339	5396255	6.3	6.5
	"Arizona"	"04"	"2003"	"2003"	350	5510364	6.4	6.6
	"Arizona"	"04"	"2004"	"2004"	360	5652404	6.4	6.6
	"Arizona"	"04"	"2005"	"2005"	393	5839077	6.7	7.0
	"Arizona"	"04"	"2006"	"2006"	479	6029141	7.9	8.2
	"Arizona"	"04"	"2007"	"2007"	490	6167681	7.9	8.2
	"Arizona"	"04"	"2008"	"2008"	515	6280362	8.2	8.4
	"Arizona"	"04"	"2009"	"2009"	625	6343154	9.9	10.1
	"Arizona"	"04"	"2010"	"2010"	649	6392017	10.2	10.3
	"Arizona"	"04"	"2011"	"2011"	595	6482505	9.2	9.3
	"Arizona"	"04"	"2012"	"2012"	564	6553255	8.6	8.8
	"Arizona"	"04"	"2013"	"2013"	545	6626624	8.2	8.5
	"Arizona"	"04"	"2014"	"2014"	614	6731484	9.1	9.1
	"Arizona"	"04"	"2015"	"2015"	701	6828065	10.3	10.6
	"Arizona"	"04"	"2016"	"2016"	805	6931071	11.6	11.9
	"Arizona"	"04"	"2017"	"2017"	970	7016270	13.8	14.1
	"Arizona"	"04"	"2018"	"2018"	1159	7171646	16.2	16.6
	"Arkansas"	"05"	"1999"	"1999"	29	2651860	1.1	1.1
	"Arkansas"	"05"	"2000"	"2000"	20	2673400	0.7	0.8
	"Arkansas"	"05"	"2001"	"2001"	30	2691571	1.1	1.1
	"Arkansas"	"05"	"2002"	"2002"	96	2705927	3.5	3.7
	"Arkansas"	"05"	"2003"	"2003"	96	2724816	3.5	3.7
	"Arkansas"	"05"	"2004"	"2004"	133	2749686	4.8	5.0
	"Arkansas"	"05"	"2005"	"2005"	127	2781097	4.6	4.8
	"Arkansas"	"05"	"2006"	"2006"	149	2821761	5.3	5.5
	"Arkansas"	"05"	"2007"	"2007"	156	2848650	5.5	5.7
	"Arkansas"	"05"	"2008"	"2008"	210	2874554	7.3	7.7
	"Arkansas"	"05"	"2009"	"2009"	221	2896843	7.6	8.0
	"Arkansas"	"05"	"2010"	"2010"	198	2915918	6.8	7.1
	"Arkansas"	"05"	"2011"	"2011"	176	2937979	6.0	6.4
	"Arkansas"	"05"	"2012"	"2012"	181	2949131	6.1	6.4
	"Arkansas"	"05"	"2013"	"2013"	175	2959373	5.9	6.0
	"Arkansas"	"05"	"2014"	"2014"	179	2966369	6.0	6.4
	"Arkansas"	"05"	"2015"	"2015"	208	2978204	7.0	7.4
	"Arkansas"	"05"	"2016"	"2016"	175	2988248	5.9	6.1
	"Arkansas"	"05"	"2017"	"2017"	199	3004279	6.6	6.8
	"Arkansas"	"05"	"2018"	"2018"	217	3013825	7.2	7.7
	"California"	"06"	"1999"	"1999"	1594	33499204	4.8	4.8
	"California"	"06"	"2000"	"2000"	1103	33871648	3.3	3.3
	"California"	"06"	"2001"	"2001"	603	34479458	1.7	1.8
	"California"	"06"	"2002"	"2002"	1582	34871843	4.5	4.6
	"California"	"06"	"2003"	"2003"	1528	35253159	4.3	4.4
	"California"	"06"	"2004"	"2004"	1540	35574576	4.3	4.3
	"California"	"06"	"2005"	"2005"	1482	35827943	4.1	4.1
	"California"	"06"	"2006"	"2006"	1600	36021202	4.4	4.4
	"California"	"06"	"2007"	"2007"	1761	36250311	4.9	4.8
	"California"	"06"	"2008"	"2008"	1887	36604337	5.2	5.0
	"California"	"06"	"2009"	"2009"	2125	36961229	5.7	5.6
	"California"	"06"	"2010"	"2010"	2058	37253956	5.5	5.3
	"California"	"06"	"2011"	"2011"	2056	37691912	5.5	5.3
	"California"	"06"	"2012"	"2012"	1844	38041430	4.8	4.7
	"California"	"06"	"2013"	"2013"	2085	38332521	5.4	5.2
	"California"	"06"	"2014"	"2014"	2159	38802500	5.6	5.3
	"California"	"06"	"2015"	"2015"	2128	39144818	5.4	5.2
	"California"	"06"	"2016"	"2016"	2142	39250017	5.5	5.2
	"California"	"06"	"2017"	"2017"	2337	39536653	5.9	5.6
	"California"	"06"	"2018"	"2018"	2541	39557045	6.4	6.1
	"Colorado"	"08"	"1999"	"1999"	168	4226018	4.0	3.8
	"Colorado"	"08"	"2000"	"2000"	183	4301261	4.3	4.1
	"Colorado"	"08"	"2001"	"2001"	201	4425687	4.5	4.4
	"Colorado"	"08"	"2002"	"2002"	205	4490406	4.6	4.4
	"Colorado"	"08"	"2003"	"2003"	229	4528732	5.1	4.9
	"Colorado"	"08"	"2004"	"2004"	231	4575013	5.0	4.9
	"Colorado"	"08"	"2005"	"2005"	309	4631888	6.7	6.4
	"Colorado"	"08"	"2006"	"2006"	335	4720423	7.1	6.8
	"Colorado"	"08"	"2007"	"2007"	367	4803868	7.6	7.3
	"Colorado"	"08"	"2008"	"2008"	365	4889730	7.5	7.2
	"Colorado"	"08"	"2009"	"2009"	410	4972195	8.2	7.9
	"Colorado"	"08"	"2010"	"2010"	325	5029196	6.5	6.3
	"Colorado"	"08"	"2011"	"2011"	423	5116796	8.3	8.1
	"Colorado"	"08"	"2012"	"2012"	415	5187582	8.0	7.8
	"Colorado"	"08"	"2013"	"2013"	443	5268367	8.4	8.2
	"Colorado"	"08"	"2014"	"2014"	532	5355866	9.9	9.7
	"Colorado"	"08"	"2015"	"2015"	512	5456574	9.4	9.0
	"Colorado"	"08"	"2016"	"2016"	560	5540545	10.1	9.9
	"Colorado"	"08"	"2017"	"2017"	600	5607154	10.7	10.4
	"Colorado"	"08"	"2018"	"2018"	602	5695564	10.6	10.0
	"Connecticut"	"09"	"1999"	"1999"	158	3386401	4.7	4.6
	"Connecticut"	"09"	"2000"	"2000"	171	3405565	5.0	5.0
	"Connecticut"	"09"	"2001"	"2001"	158	3432835	4.6	4.6
	"Connecticut"	"09"	"2002"	"2002"	174	3458749	5.0	5.1
	"Connecticut"	"09"	"2003"	"2003"	168	3484336	4.8	4.9
	"Connecticut"	"09"	"2004"	"2004"	196	3496094	5.6	5.8
